Fri Nov  4 16:18:26 2022    profile.dat

         225092714 function calls (210389854 primitive calls) in 337.722 seconds

   Ordered by: call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
4331/2538    0.005    0.000    0.018    0.000 C:\Users\roland\Documents\GitHub_clones\line_triangle_projection\line_2d3d\python\MyLine.py:51(draw)
     3586    0.001    0.000    0.001    0.000 C:\Users\roland\Documents\GitHub_clones\line_triangle_projection\line_2d3d\python\svg.py:77(_translate)
     2934    0.001    0.000    0.001    0.000 {built-in method numpy.core._multiarray_umath.normalize_axis_index}
     2538    0.277    0.000    0.378    0.000 C:\Users\roland\Documents\GitHub_clones\line_triangle_projection\line_2d3d\python\MyLine.py:68(generateSplitLines)
     2538    0.018    0.000    0.021    0.000 C:\Users\roland\Documents\GitHub_clones\line_triangle_projection\line_2d3d\python\MyLine.py:95(recombineLines)
     2538    0.050    0.000    0.050    0.000 {method 'index' of 'list' objects}
     2538    0.011    0.000    0.011    0.000 {method 'sort' of 'list' objects}
     1956    0.001    0.000    0.001    0.000 C:\Users\roland\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.8_qbz5n2kfra8p0\LocalCache\local-packages\Python38\site-packages\numpy\core\numeric.py:1358(<listcomp>)
     1956    0.003    0.000    0.005    0.000 C:\Users\roland\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.8_qbz5n2kfra8p0\LocalCache\local-packages\Python38\site-packages\numpy\core\numeric.py:1308(normalize_axis_tuple)
     1956    0.000    0.000    0.000    0.000 {built-in method _operator.index}
     1795    0.001    0.000    0.001    0.000 C:\Users\roland\Documents\GitHub_clones\line_triangle_projection\line_2d3d\python\svg.py:25(__add_to_svg)
     1794    0.008    0.000    0.008    0.000 {method 'format' of 'str' objects}
     1793    0.002    0.000    0.012    0.000 C:\Users\roland\Documents\GitHub_clones\line_triangle_projection\line_2d3d\python\svg.py:88(line)
     1793    0.002    0.000    0.002    0.000 C:\Users\roland\Documents\GitHub_clones\line_triangle_projection\line_2d3d\python\MyColor.py:26(__str__)
     1793    0.001    0.000    0.002    0.000 C:\Users\roland\Documents\GitHub_clones\line_triangle_projection\line_2d3d\python\MyLine.py:48(copy)
     1306    0.001    0.000    0.001    0.000 {built-in method numpy.array}
      980    0.000    0.000    0.001    0.000 C:\Users\roland\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.8_qbz5n2kfra8p0\LocalCache\local-packages\Python38\site-packages\numpy\core\_asarray.py:14(asarray)
      978    0.000    0.000    0.000    0.000 C:\Users\roland\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.8_qbz5n2kfra8p0\LocalCache\local-packages\Python38\site-packages\numpy\core\numeric.py:1367(_moveaxis_dispatcher)
      978    0.000    0.000    0.000    0.000 C:\Users\roland\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.8_qbz5n2kfra8p0\LocalCache\local-packages\Python38\site-packages\numpy\core\numeric.py:1434(<listcomp>)
      978    0.003    0.000    0.010    0.000 C:\Users\roland\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.8_qbz5n2kfra8p0\LocalCache\local-packages\Python38\site-packages\numpy\core\numeric.py:1371(moveaxis)
      978    0.001    0.000    0.011    0.000 <__array_function__ internals>:2(moveaxis)
      978    0.000    0.000    0.000    0.000 {method 'insert' of 'list' objects}
      978    0.000    0.000    0.000    0.000 {built-in method builtins.sorted}
      978    0.001    0.000    0.001    0.000 {method 'transpose' of 'numpy.ndarray' objects}
      974    0.002    0.000    0.006    0.000 C:\Users\roland\Documents\GitHub_clones\line_triangle_projection\line_2d3d\python\MyCamera.py:31(project)
      972    0.000    0.000    0.000    0.000 {method 'random' of '_random.Random' objects}
      656    0.000    0.000    0.000    0.000 {built-in method builtins.issubclass}
      648    0.023    0.000    0.180    0.000 C:\Users\roland\Documents\GitHub_clones\line_triangle_projection\line_2d3d\python\MyTriangle.py:165(getHatches)
      328    0.000    0.000    0.000    0.000 C:\Users\roland\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.8_qbz5n2kfra8p0\LocalCache\local-packages\Python38\site-packages\numpy\linalg\linalg.py:112(isComplexType)
      328    0.000    0.000    0.000    0.000 C:\Users\roland\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.8_qbz5n2kfra8p0\LocalCache\local-packages\Python38\site-packages\numpy\linalg\linalg.py:2359(_norm_dispatcher)
      328    0.002    0.000    0.003    0.000 C:\Users\roland\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.8_qbz5n2kfra8p0\LocalCache\local-packages\Python38\site-packages\numpy\linalg\linalg.py:2363(norm)
      328    0.000    0.000    0.004    0.000 <__array_function__ internals>:2(norm)
      328    0.000    0.000    0.000    0.000 {method 'ravel' of 'numpy.ndarray' objects}
      326    0.000    0.000    0.000    0.000 C:\Users\roland\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.8_qbz5n2kfra8p0\LocalCache\local-packages\Python38\site-packages\numpy\core\numeric.py:1448(_cross_dispatcher)
      326    0.007    0.000    0.019    0.000 C:\Users\roland\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.8_qbz5n2kfra8p0\LocalCache\local-packages\Python38\site-packages\numpy\core\numeric.py:1452(cross)
      326    0.000    0.000    0.020    0.000 <__array_function__ internals>:2(cross)
      326    0.000    0.000    0.000    0.000 {built-in method numpy.empty}
      326    0.000    0.000    0.000    0.000 {built-in method numpy.promote_types}
      324    0.000    0.000    0.000    0.000 C:\Users\roland\Documents\GitHub_clones\line_triangle_projection\line_2d3d\python\MyLight.py:15(getNormalizedDirection)
      324    0.000    0.000    0.000    0.000 C:\Users\roland\Documents\GitHub_clones\line_triangle_projection\line_2d3d\python\MyUtils.py:36(getID)
      324    0.003    0.000    0.042    0.000 C:\Users\roland\Documents\GitHub_clones\line_triangle_projection\line_2d3d\python\MyTriangle.py:22(__init__)
      324    0.002    0.000    0.026    0.000 C:\Users\roland\Documents\GitHub_clones\line_triangle_projection\line_2d3d\python\MyTriangle.py:88(det_normal_and_o)
      324    0.001    0.000    0.001    0.000 C:\Users\roland\Documents\GitHub_clones\line_triangle_projection\line_2d3d\python\MyTriangle.py:157(set_light)
      324    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
       27    0.002    0.000    0.044    0.002 C:\Users\roland\Documents\GitHub_clones\line_triangle_projection\line_2d3d\python\MyScenes.py:51(block)
        8    0.002    0.000    0.002    0.000 {built-in method builtins.print}
        4    0.002    0.001    0.021    0.005 C:\Users\roland\Documents\GitHub_clones\line_triangle_projection\line_2d3d\python\line_2d3d.py:11(get_no_lines)
        3    0.000    0.000    0.000    0.000 {method 'astype' of 'numpy.ndarray' objects}
        1    0.000    0.000    0.000    0.000 C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.8_3.8.2800.0_x64__qbz5n2kfra8p0\lib\codecs.py:186(__init__)
        1    0.000    0.000    0.000    0.000 C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.8_3.8.2800.0_x64__qbz5n2kfra8p0\lib\codecs.py:260(__init__)
        1    0.000    0.000    0.000    0.000 C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.8_3.8.2800.0_x64__qbz5n2kfra8p0\lib\codecs.py:276(reset)
        1    0.000    0.000    0.002    0.002 C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.8_3.8.2800.0_x64__qbz5n2kfra8p0\lib\encodings\cp1252.py:18(encode)
        1    0.000    0.000    0.000    0.000 C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.8_3.8.2800.0_x64__qbz5n2kfra8p0\lib\_bootlocale.py:11(getpreferredencoding)
        1    0.000    0.000    0.000    0.000 C:\Users\roland\Documents\GitHub_clones\line_triangle_projection\line_2d3d\python\MyCamera.py:9(__init__)
        1    2.595    2.595  337.711  337.711 C:\Users\roland\Documents\GitHub_clones\line_triangle_projection\line_2d3d\python\line_2d3d.py:17(main)
        1    0.000    0.000    0.000    0.000 C:\Users\roland\Documents\GitHub_clones\line_triangle_projection\line_2d3d\python\svg.py:9(__init__)
        1    0.000    0.000    0.000    0.000 C:\Users\roland\Documents\GitHub_clones\line_triangle_projection\line_2d3d\python\svg.py:33(__generate_templates)
        1    0.000    0.000    0.000    0.000 C:\Users\roland\Documents\GitHub_clones\line_triangle_projection\line_2d3d\python\svg.py:52(create)
        1    0.000    0.000    0.000    0.000 C:\Users\roland\Documents\GitHub_clones\line_triangle_projection\line_2d3d\python\svg.py:65(finalize)
        1    0.000    0.000    0.000    0.000 C:\Users\roland\Documents\GitHub_clones\line_triangle_projection\line_2d3d\python\svg.py:73(translate)
        1    0.000    0.000    0.000    0.000 C:\Users\roland\Documents\GitHub_clones\line_triangle_projection\line_2d3d\python\svg.py:131(__str__)
        1    0.000    0.000    0.003    0.003 C:\Users\roland\Documents\GitHub_clones\line_triangle_projection\line_2d3d\python\svg.py:139(save)
        1    0.000    0.000    0.000    0.000 C:\Users\roland\Documents\GitHub_clones\line_triangle_projection\line_2d3d\python\MyLight.py:9(__init__)
        1    0.000    0.000    0.044    0.044 C:\Users\roland\Documents\GitHub_clones\line_triangle_projection\line_2d3d\python\MyScenes.py:35(blocks_scene_1)
        1    0.011    0.011  337.721  337.721 <string>:1(<module>)
        1    0.002    0.002    0.002    0.002 {built-in method _codecs.charmap_encode}
        1    0.000    0.000    0.000    0.000 {built-in method _locale._getdefaultlocale}
        1    0.000    0.000    0.002    0.002 {method 'write' of '_io.TextIOWrapper' objects}
        1    0.000    0.000    0.000    0.000 {method 'close' of '_io.TextIOWrapper' objects}
        1    0.001    0.001    0.001    0.001 {built-in method io.open}
        1    0.000    0.000    0.000    0.000 {method 'clear' of 'list' objects}
        1    0.000    0.000    0.000    0.000 {method 'join' of 'str' objects}
        1    0.000    0.000  337.722  337.722 {built-in method builtins.exec}
        1    0.000    0.000    0.000    0.000 {method 'disable' of '_lsprof.Profiler' objects}


